X,Y,Z,Object
2.378095672,5.084182231,0,8
1.969263889,12.44472222,0,4
0.562538462,17.608,0,14
1.13279096,25.6899661,0,16
2.901776435,31.72906345,0,16
1.955895652,37.66951303,0,2
0.342090909,47.72490908,0,2
0.472054054,55.20345947,0,10
1.896519231,71.56526923,0,3
1.667648,76.9356,0,4
1.838234375,83.67682814,0,4
0.766457831,89.47368676,0,10
2.76616,93.837008,0,9
2.683345196,108.1524555,0,8
1.136,111.958125,0,16
0.80088,114.44064,0,16
0.747588235,121.3055882,0,2
1.555826087,126.3028261,0,2
0.378666667,132.5254444,0,16
3.313088083,135.6813679,0,2
0.905507246,144.3131594,0,4
1.697603603,151.0125225,0,4
2.538125874,155.3321119,0,6
0.489111111,158.1511852,0,4
1.851725806,166.8855,0,14
0.664313044,173.8228174,0,6
1.6188,181.5866105,0,6
1.562,187.829648,0,6
1.880760417,199.1402083,0,4
2.318103896,219.4244242,0,17
0.933142857,228.4577143,0,5
0.224210526,234.5541053,0,5
1.108019705,240.2052414,0,7
1.282281407,249.9549648,0,8
0.825525424,262.153661,0,12
3.171195336,274.8355491,0,15
1.047817352,285.9465022,0,2
4.669218182,298.1414787,0,15
1.090321678,302.0449232,0,10
2.578767932,305.9195275,0,2
4.478648715,321.9040929,0,8
3.725023256,331.2513256,0,4
3.796194806,343.3134,0,15
6.498096887,360.8264222,0,17
0.466571429,363.9764286,0,13
1.759905512,368.580567,0,7
6.312177937,375.9702669,0,15
0.817814815,379.8894445,0,10
0.55025,385.645375,0,10
1.514666667,396.6713652,0,12
0.646698795,402.4382652,0,16
2.393878543,406.4476923,0,10
4.388834436,413.9850134,0,4
1.997861111,419.735236,0,9
0.560111111,424.4853334,0,5
0.554146341,431.7077073,0,5
0.943961905,440.8626666,0,5
1.00645614,450.6033684,0,6
5.643854545,453.9820897,0,15
0.552785714,463.7314286,0,2
0.577311475,471.0628852,0,5
3.588061856,475.8976288,0,9
0.712897959,480.7134693,0,5
2.612983819,488.2079482,0,7
3.178437614,495.4870451,0,11
7.740800725,504.6270978,0,15
1.397165829,512.8369246,0,4
0.753890909,520.8069455,0,2
0.399135135,526.4131893,0,2
3.530494505,530.043868,0,16
1.079505376,536.8806236,0,6
0.915755102,542.7211021,0,4
3.526228149,555.9171675,0,15
3.434611368,576.7922211,0,17
2.66980322,594.2443434,0,8
0.830566038,734.8848303,0,13
4.340260871,43.12478261,0,2
3.817152543,102.5013075,0,8
3.093878787,291.9132726,0,9
4.817126126,429.3030992,0,11
1.6685,444.8741666,0,5
4.691378787,568.0215153,0,13
3.158251258,140.654211,0,2
4.29995671,160.2282511,0,4
5.364912801,192.1515547,0,7
4.567065989,116.6598477,0,2
3.491121952,233.5596951,0,4
3.989680155,256.8755376,0,8
4.21445283,482.9696855,0,4
3.878874459,309.8366234,0,5
5.369315437,435.2881342,0,11
4.010634146,524.7478886,0,2
4.075783783,19.58928378,0,2
6.080207586,48.61728544,0,2
3.503195531,517.5447821,0,16
3.261186441,61.51006781,0,16
4.072478469,66.62857416,0,4
4.738081505,401.2118745,0,10
3.188545455,171.2842727,0,9
7.571294751,615.5678978,0,13
5.203521596,122.6729037,0,14
5.036617284,146.8911111,0,4
6.093878048,128.3437561,0,4
4.7925,174.0875625,0,5
6.533938567,442.342116,0,10
5.662666668,460.5200001,0,2
5.991232876,545.299452,0,7
5.842926316,626.5498387,0,8
5.30748052,240.264,0,6
7.117815499,353.5244576,0,4
4.231020407,385.9849796,0,10
6.759021943,424.561304,0,4
6.226766354,537.5436543,0,4
6.260566372,27.39343363,0,2
6.030488294,179.6048294,0,6
5.347034484,0.31337931,0,14
8.920493298,113.7682681,0,8
5.4625625,208.3495,0,13
6.228604879,409.0140293,0,5
8.05078261,466.2226803,0,4
8.291523596,169.6539416,0,2
8.295061946,185.4036195,0,4
7.827906157,247.2615601,0,16
6.660258064,82.10598239,0,4
7.712566155,230.0041723,0,4
6.843588572,511.1334628,0,7
7.566026846,13.35467114,0,16
7.34495,59.45895,0,14
7.890830768,222.6304088,0,9
9.826071676,289.4383538,0,15
