Object,Count,SPARC,DAPI,CD20,CD3,Bcl6,CD138,CD163,CD11c,HLA-DR,CD4,CD25,FoxP3,CD8,CD68,DC-SIGN,Va7.2,CD45
1,2,0.550853908,84.86697741,8.76238325,45.22310609,19.00303472,0,0,11.12415178,13.33969305,28.46082609,3.118700087,26.18788901,30.8210153,0.144672847,0.355784033,25.71079162,37.59847971
2,1081,0.898604605,129.6314228,9.84762093,106.6387972,4.029648037,0.436441647,0.389840321,6.836548254,14.22557018,62.28981681,1.091024986,12.29656466,6.514554578,0.548312498,0.701796808,0.384926456,69.16312486
3,1022,0.794194308,142.9393241,34.87857297,6.323257745,13.76243748,0.084008202,0.098731851,1.812565791,36.50492367,7.024619488,2.867111266,12.61578466,0.884146769,0.368640633,0.282321419,0.345241089,59.36519775
4,991,1.175250185,125.8254271,25.85168108,46.90941714,9.62529589,0.188403288,0.268492239,4.822940516,25.07003113,27.45907206,2.985386062,12.13133606,3.720264681,0.554635012,1.132526612,0.824388317,57.74320929
5,847,1.966340914,86.99092146,56.60501161,10.33840258,16.15797675,0.125902142,0.109459826,5.135232696,49.99103304,12.14766141,6.635980535,11.75948626,1.741918455,1.006633137,0.46821766,0.6014584,58.95544432
6,819,0.815769709,145.7433944,37.35515349,5.837070379,13.5903545,0.14528681,0.097619566,1.658657828,35.90844771,6.71846772,2.882748187,12.92727191,0.787647668,0.346554743,0.224351991,0.281171142,59.04151866
7,611,1.833903068,106.323623,32.96809987,8.559380554,15.18338705,0.107153606,0.186318813,3.33645152,29.26541398,8.464686476,5.020766035,11.60044181,1.316696274,1.019436932,1.125007639,0.623251592,43.3914513
8,568,4.60942503,72.56348703,10.27345942,21.17838052,14.55504314,0.72631177,1.302348384,13.43134515,18.02644143,28.44993211,6.684563992,13.63235753,5.771535885,5.895803817,3.470405727,2.011584935,27.88706748
9,515,1.21193259,110.2035441,26.51950625,56.22624999,9.306096699,0.119371621,0.59318224,5.779851235,24.53578172,33.33859009,2.867792676,11.23050317,3.90205086,0.638914371,1.108858412,0.62809294,59.88987828
10,466,10.22674304,56.40041819,14.64172298,26.52559279,13.26768382,0.384652457,1.253895745,41.34688661,24.55588382,34.35976657,24.56481539,14.0462217,9.736980679,18.00075336,5.824461833,1.626679069,40.6991621
11,461,1.791152122,120.1993941,35.73358277,9.173046095,15.10091888,0.165132309,0.104372942,3.333754473,33.90517368,8.71718206,4.591188519,12.40883962,1.39695766,0.767429561,0.546717062,0.75015963,47.30716435
12,392,2.173074342,62.19142124,11.140699,69.18051538,9.267789637,0.491952675,1.648771884,8.544195548,39.98833003,53.40872071,3.180926479,10.69014874,7.931913861,2.65382239,1.630154443,1.573976825,49.48090256
13,374,8.342278617,16.91148656,2.389354574,6.451997251,8.52909732,1.262429457,15.47234191,3.312900806,15.97604598,9.922425529,2.066421015,8.392327587,11.78156783,4.128943253,7.127369291,1.299183256,5.789024996
14,359,0.795288554,128.0618644,14.65754429,94.63210623,4.265933075,0.300449427,0.19775413,6.444217238,16.02510348,48.97850316,6.637643102,84.20411901,5.499426357,0.74949899,0.114060949,0.575547975,68.70273168
15,349,6.328818136,83.23046012,17.68133728,34.20816917,14.97640533,2.719647253,2.166543795,11.32779416,26.38180065,25.52447526,7.120008791,13.71966678,7.641025943,3.839265123,6.774472736,3.541115707,30.82241124
16,342,1.609991214,126.1736932,8.837878098,83.12322117,3.710407752,0.4249804,1.324489111,8.376214215,13.08512662,22.07397857,1.277504121,10.92165558,47.36032048,0.69701541,1.281808814,15.34170525,62.91996114
17,239,31.11054041,42.77201559,3.398825858,6.762406311,13.29520601,1.774924081,1.626924978,4.702817151,10.43067504,7.299626787,3.059759172,11.21411521,5.909024697,1.922991417,2.049246199,2.078780519,7.219391308
18,231,3.933384895,78.0823771,51.05270169,25.92750582,102.1053408,0.705017772,0.361533487,6.152605377,57.71247818,25.6473536,2.540878901,10.31187303,1.27272713,0.681648228,0.824766757,1.229719296,46.15802735
19,57,4.145046677,51.30526102,5.908117087,16.15402764,9.906266284,78.37140835,4.215775641,7.285418494,20.5588841,14.01994967,2.02222423,11.90987181,9.398730284,2.297296973,1.301781456,4.555501006,17.51737507
20,31,3.433709079,70.08355731,0.183117313,45.7937585,17.38138223,2.44160292,1.107965062,36.50583877,11.3112687,9.08044002,1.95795727,84.06310757,6.770150625,11.66670859,3.621250958,18.52746892,4.997820974
